director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
P. T. Shaida (Tulsidutt Shaida),Miss Ali, Tarak Bagcha, Pandit Tulsidutt Shaida,Social,balika badhu a.k.a. baby bride,Miss Ali  Tarak Bagcha  Pandit Tulsidutt Shaida P. T. Shaida (Tulsidutt Shaida) Social
Vishnupant Divekar,Khalil, Prabha, Vaidya,Mythology,daksha yagna a.k.a. sati parvati,Khalil  Prabha  Vaidya Vishnupant Divekar Mythology
G. V. Sane,unknown,unknown,unknown,Mythology,jalandhar vrinda a.k.a. sati tulsi vrinda,unknown unknown unknown G. V. Sane Mythology
G. V. Sane,unknown,unknown,unknown,Mythology,kansa vadha a.k.a. end of the tyrant king,unknown unknown unknown G. V. Sane Mythology
S. N. Patankar,Trymbakrao Pradhan, Tara Koregaonkar, Baba Vyas,Social,katorabhar khoon a.k.a.the stinger stung a.k.a. zaheri saanp,Trymbakrao Pradhan  Tara Koregaonkar  Baba Vyas S. N. Patankar Social
Vishnupant Divekar,Khalil, Vaidya, Prabha,Mythology,krishna sudama a.k.a. shri krishna sudama,Khalil  Vaidya  Prabha Vishnupant Divekar Mythology
R. Nataraja Mudaliar,unknown,unknown,unknown,Drama,lava kusha,unknown unknown unknown R. Nataraja Mudaliar Drama
Rustomji Dhotiwala,unknown,unknown,unknown,Drama War,mahabharata,unknown unknown unknown Rustomji Dhotiwala Drama War
Suchet Singh,Kanjibhai Rathod,unknown,unknown,unknown,mrichhakatik,Kanjibhai Rathod unknown unknown Suchet Singh unknown
Shree Nath Patankar,unknown,unknown,unknown,Mythology,narasinha avtar,unknown unknown unknown Shree Nath Patankar Mythology
"Suchet Singh, Shukle",Dorothy Kingdon, Goharjaan, Kanjbhai Rathod,Mythology,rama or maya,"Dorothy Kingdon  Goharjaan  Kanjbhai Rathod Suchet Singh, Shukle Mythology"
