,Title,Director,Cast,Genre,year
0,Balika Badhu a.k.a. Baby Bride,P. T. Shaida (Tulsidutt Shaida),"Miss Ali, Tarak Bagcha, Pandit Tulsidutt Shaida",Social,1920
1,Daksha Yagna a.k.a. Sati Parvati,Vishnupant Divekar,"Khalil, Prabha, Vaidya",Mythology,1920
2,Jalandhar Vrinda a.k.a. Sati Tulsi Vrinda,G. V. Sane,,Mythology,1920
3,Kansa Vadha a.k.a. End Of The Tyrant King,G. V. Sane,,Mythology,1920
4,Katorabhar Khoon a.k.a.The Stinger Stung a.k.a. Zaheri Saanp,S. N. Patankar,"Trymbakrao Pradhan, Tara Koregaonkar, Baba Vyas, K. G. Gokhale",Social,1920
5,Krishna Sudama a.k.a. Shri Krishna Sudama,Vishnupant Divekar,"Khalil, Vaidya, Prabha, Kesarbai, Moti, Sakina, Ali Miya",Mythology,1920
6,Lava Kusha,R. Nataraja Mudaliar,,Mythology,1920
7,Mahabharata,Rustomji Dhotiwala,,,1920
8,Mrichhakatik,Suchet Singh,Kanjibhai Rathod,,1920
9,Narasinha Avtar,Shree Nath Patankar,,Mythology,1920
10,Narsinh Mehta,"Suchet Singh, Shukle",Kanjibhai Rathod,Devotional,1920
11,Ram Janma,G. V. Sane,,Mythology,1920
12,Rama Or Maya,"Suchet Singh, Shukle","Dorothy Kingdon, Goharjaan, Kanjbhai Rathod, Samson",Mythology,1920
13,Sairandhri,Baburao Painter,"Balasabeb Yadav, Zunzharrao Pawar, Kamaladevi, Balasabeb Yadav, Keshavrao Dhaiber, Baburao Pendharkar, Ganpatrao Bakre, Ansuyabai, Gulabbai, Ravi Bhaskar",Mythology,1920
14,Shakuntala,Suchet Singh,"Dorothy Kingdon, Goharjaan, Mrs. Sutria, Samson",Mythology,1920
15,Shakuntala,Shree Nath Patankar,,Mythology drama,1920
16,Shri Krishna Leela,G. V. Sane,,Mythology,1920
17,Shri Rama Janma,G. V. Sane,,Mythology,1920
18,Sita Swayamwar a.k.a. Sita's Marriage,Shree Nath Patankar,Limaye,Mythology,1920
19,The Enchanted Pills a.k.a. Vichitra Gutika,S. N. Patankar,"Trymbakrao Pradhan, Marathe, Sitarampant Joshi, K. G. Gokhale, Damuanna Joshi, Dighe",Social,1920
20,Vikram Urvashi,Kanjibhai Rathod,"R. N. Vaidya, Lina Valentine",Mythology,1920
21,Behula,C. Legrand,Patience Cooper,Mythology,1921
22,Belgian Emperor's Visit To India,Nitin Bose,,Documentary,1921
23,Bhakta Vidur,Kanjibhai Rathod,"Dwarkadas Sampat, Sakina, Maneklal Patel, Homi Master, Prabhashankar, Gangaram",Devotional,1921
24,Bilet Pherat a.k.a. England Returned,Dhirendranath Ganguly,"Dhirendranath Ganguly, Manmatha Pal, Sushilabala, Kunjalal Chakraborty",Social Comedy,1921
25,Chandrahasa,Kanjibhai Rathod,"Khalil, Tara, Moti, Savita, Dhanji",Devotional,1921
26,Dabbur Kelenkari,Debi Ghosh,Chani Datta,,1921
27,Dhruva Charitra a.k.a. The Story Of Dhruva,Jyotish Bannerjee,"Patience Cooper, M. Manilal, Master Mohan, Signor P. Mannelli, Signorina F. Mannelli, James Mcgrath, Dadabhai Sarkari, Kusumkumari, Aga Hashr Kashmiri, Pestonji Madan",Mythology,1921
28,King Gopichand a.k.a. Gopichand,Vishnupant Divekar,"Hira Koregaonkar, Mama Bhatt",Legend,1921
29,Govardhan Dhari,G. V. Sane,,Mythology,1921
30,Jagat Janani Jagadamba a.k.a. Ma Durga a.k.a. Mother Durga,Jyotish Bannerjee,,Mythology,1921
31,Krishna Kumar a.k.a. Pradyumna,Vishnupant Divekar,,Mythology,1921
32,Krishna Maya,Kanjibhai Rathod,Jamna,Mythology,1921
33,Mahasati Ansuya a.k.a. Sati Ansuya a.k.a. Birth Of Shri Dattatreya,Kanjibhai Rathod,"Khalil, Vaidya, Sakina",Devotional,1921
34,Meerabai a.k.a. Mira Bai,Sisir Kumar Bhaduri,"Patience Cooper, S. K. Bhaduri",Devotional,1921
35,Mohini,Sisir Kumar Bhaduri,"Patience Cooper, S. K. Bhaduri",Devotional,1921
36,Nal Damayanti,E. D. Liguoro,"Patience Cooper, E. D. Liguoro, D. Sarkari, K. Adajania, Albertina, Chhapgar",Mythology,1921
37,Pundalik,Ganpat Shinde,,Devotional,1921
38,Pundalik,Kanjibhai Rathod,,Devotional,1921
39,Ratnakar,S. N. Ray,"Chunilal Dev, Shosha Mukhi, Sushila Debi",Mythology,1921
40,Rukmini Haran,Kanjibhai Rathod,"Khalil, Tara, Moti, Sakina, R. N. Vaidya, Gangaram",Mythology,1921
41,Rukmini Satyabhama a.k.a. Rukmini Kalyanam a.k.a. Rukmani Sathyabhama a.k.a. The Wedding Of Rukmani,R. Nataraja Mudaliar,,Mythology,1921
42,Sant Tukaram a.k.a. Tukaram,Ganpat Shinde,,Devotional,1921
43,Sati Madalsa,S. N. Patankar,,Mythology,1921
44,Sati Sulochana,G. V. Sane,,Mythology,1921
45,Salaam Aleikum,,,Social,1921
46,Shani Prabhav,G. V. Sane,,Mythology,1921
47,Shivratri,C. Legrand,"Kusum Kumari, Prabodh Bose",Mythology,1921
48,Subhadra Haran,Kanjibhai Rathod,,Mythology,1921
49,Surekha Haran a.k.a. The Elopement Of Surekha a.k.a. Surekha Abhimanyu,Baburao Painter,"V. Shantaram, Vishnupant Pagnis, Baburao Pendharkar, Ravji Mhaskar, Balasaheb Yadav, Ganpat Bakre, Zunzharrao Pawar, G. R. Mane, Gajrabai",Mythology,1921
50,Themuras & Tehmuljee a.k.a. Aflatoon,,,Social,1921
51,Tridandi Sanyas,Vishnupant Divekar,"Soni, Limaye, Anand Shinde",Mythology,1921
52,Urvashi,Vishnupant Divekar,"Hira Koregaonkar, Limaye, Vithabai",Mythology,1921
53,Valli Thirumanam a.k.a. Valli's Wedding,Whittaker,,Mythology,1921
54,Valmiki,G. V. Sane,,Mythology,1921
55,Vikram Satva Pariksha,G. V. Sane,,Mythology,1921
